Birthday Party Paella ,5,6996,264,651,1018,60
Vanilla-Buttermilk Cake With Raspberries and Orange Cream-Cheese Frosting ,4.375,7141,470,540,6152,47
Asian Coleslaw with Shredded Chicken or Turkey ,3.75,7202,87,436,3923,82
Verbena-Brined Pork Chops ,3.75,7469,1114,297,6677,49
Sour Cream Chocolate Cake ,0,7576,421,637,6477,52
Clam and Oyster Chowder ,3.75,8275,608,618,4011,73
Carrot Cake with Cream Cheese Frosting ,3.125,8603,13,923,1401,11
Polenta Pudding with Blackberry Compote and Mascarpone Cream ,5,8624,88,535,5467,32
Goose Stew with Barley and Celery Root ,4.375,8844,96,441,880,93
Chocolate Spoonful Cake ,5,8858,377,776,2584,40
Pumpkin Chiffon Pie with Gingersnap Pecan Crust ,3.75,9101,97,551,3204,71
Manhattan Clam Chowder ,4.375,9799,115,397,7302,93
Tamarind-Honey Lamb Kebabs on Mashed Yams ,4.375,9811,1625,128,67615,73
Bacon-Wrapped Trout Stuffed with Balsamic Onion Compote in Rosemary Cream Sauce ,0,11453,447,1054,1749,64
Garlic-Curry Chicken Thighs With Yogurt Sauce ,4.375,12010,403,1115,18212,80
"Jamaican ""Jerk"" Chicken Wings ",4.375,12213,907,919,5252,86
Braised Orange-Ginger Short Ribs with Dried Apricots ,4.375,12824,1164,887,6890,70
Braised Duck Legs with Shallots and Parsnips ,4.375,16050,592,1480,2629,43
Braised Short Ribs with Red Wine Gravy ,4.375,16761,477,1610,3097,42
Grilled Cumin Chicken Breasts with Avocado Salsa ,3.75,19576,723,1818,2950,20
Grilled Cumin Chicken Breasts with Avocado Salsa ,3.75,22312,332,1007,13820,58
Grilled Cumin Chicken Breasts with Avocado Salsa ,3.75,22312,332,1007,13820,22
Grilled Lamb Chops with Porcini Mustard ,3.75,22312,332,1007,13820,50
Grilled Lamb Chops with Porcini Mustard ,5,24117,940,2228,4382,27
Merguez Lamb Patties with Golden Raisin Couscous ,5,24117,940,2228,4382,81
Caramelized Apple and Pear Pie ,4.375,54512,2074,595,3983,75
Chocolate-Almond Pie ,3.125,3358029,58324,186642,3449373,85
Lamb Köfte with Tarator Sauce ,5,4157357,236489,221495,3134853,88
Deep-Dish Wild Blueberry Pie ,4.375,13062948,87188,747374,12005810,34
Pear-Cranberry Mincemeat Lattice Pie ,4.375,29997918,200210,1716279,27570999,15
